Name,Rating,Games,Moves,CPL,MM,Sort Score,Analysis
Andrei Istratescu,2515,2,49,40,55,15,C
Andrei Istratescu,2515,2,49,36,57,21,D
Josef Ask,2128,2,50,80,36,-44,D
Jonas Lundvik,2270,1,50,45,58,13,B
Jesper Celander,2180,2,50,87,40,-47,D
Ellinor Frisk,2109,1,50,112,36,-76,D
Lev Psakhis,2615,1,50,49,42,-7,A
Lev Psakhis,2615,1,50,49,42,-7,B
Lev Psakhis,2615,1,50,44,42,-2,C
Lev Psakhis,2615,1,50,43,50,7,D
Casimiro Ballina Amandi,2007,2,50,63,32,-31,A
Casimiro Ballina Amandi,2007,2,50,42,42,0,C
Casimiro Ballina Amandi,2007,2,50,47,44,-3,D
Pedro Vinal Gutierrez,2165,2,50,55,46,-9,A
Pedro Vinal Gutierrez,2165,2,50,65,38,-27,B
Pedro Vinal Gutierrez,2165,2,50,67,46,-21,C
Pedro Vinal Gutierrez,2165,2,50,68,42,-26,D
Daniel Zamarbide Inarrea,2015,1,50,40,30,-10,B
Thomas Ernst,2450,2,51,25,61,36,C
Mark E Taimanov,2406,2,51,47,57,10,C
Ellinor Frisk,2109,1,51,107,43,-64,A
Michael De Verdier,2147,2,51,100,41,-59,A
Michael De Verdier,2147,2,51,100,41,-59,C
Michael De Verdier,2147,2,51,100,43,-57,D
Alexander Lastin,2622,2,51,75,55,-20,C
Jon L Arnason,2525,2,51,31,61,30,A
Jon L Arnason,2525,2,51,20,71,51,C
Jon L Arnason,2525,2,51,22,69,47,D
Zbynek Hracek,2530,1,51,31,53,22,A
Zbynek Hracek,2530,1,51,35,49,14,B
Zbynek Hracek,2530,1,51,38,41,3,C
Zbynek Hracek,2530,1,51,35,41,6,D
John T. H. Van Der Wiel,2555,2,51,37,59,22,D
Jacob Aagaard,2355,1,52,27,62,35,C
Josef Ask,2128,2,52,104,37,-67,A
Jesper Celander,2180,2,52,79,40,-39,C
Josef Ask,2235,2,52,57,54,-3,C
Valerij Filippov,2639,1,52,31,58,27,B
Viacheslav Dydyshko,2510,2,52,50,40,-10,A
Viacheslav Dydyshko,2510,2,52,35,48,13,C
Viacheslav Dydyshko,2510,2,52,32,46,14,D
Robert Huebner,2605,1,52,8,69,61,D
John T. H. Van Der Wiel,2555,2,52,43,56,13,C
Peter Carlsten,2159,2,53,90,34,-56,A
Peter Carlsten,2159,2,53,84,26,-58,D
Gustavo Luna,2143,1,53,54,43,-11,D
Per Soderberg,2205,1,53,47,55,8,C
Tobias Pettersson,2159,1,53,45,45,0,A
Tobias Pettersson,2159,1,53,45,51,6,B
Tobias Pettersson,2159,1,53,40,51,11,C
Tobias Pettersson,2159,1,53,37,55,18,D
Alberto David,2425,1,53,56,49,-7,D
Robert Huebner,2605,1,53,13,68,55,A
Robert Huebner,2605,1,53,13,68,55,B
Robert Huebner,2605,1,53,12,74,62,C
Zigurds Lanka,2540,2,53,74,34,-40,A
Zigurds Lanka,2540,2,53,41,40,-1,B
Zigurds Lanka,2540,2,53,42,42,0,C
Zigurds Lanka,2540,2,53,34,43,9,D
John T. H. Van Der Wiel,2555,2,53,49,51,2,A
Nikolay Nazarov,2256,1,54,44,39,-5,B
Alberto David,2425,1,54,44,59,15,B
Alberto David,2425,1,54,56,52,-4,C
Branko Damljanovic,2505,1,54,59,48,-11,B
Lajos Portisch,2610,1,54,37,57,20,A
Lajos Portisch,2610,1,54,26,57,31,B
Lajos Portisch,2610,1,54,28,57,29,C
Lajos Portisch,2610,1,54,32,59,27,D
Juan Mario Gomez Esteban,2486,1,54,42,54,12,B
Jesper Celander,2180,2,55,64,47,-17,A
Alberto David,2425,1,55,55,47,-8,A
Johann Hjartarson,2585,1,55,44,54,10,B
Javier B. Campos Moreno,2445,1,55,19,67,48,D
Vasil Spasov,2525,2,55,33,65,32,B
Gustavo Luna,2143,1,56,46,39,-7,C
Sergei Yudin,2425,3,56,47,59,12,C
Javier B. Campos Moreno,2445,1,56,17,73,56,C
Manuel Perez Candelario,2496,2,56,63,46,-17,B
Johan Furhoff,2302,2,57,65,58,-7,B
Henrik Lindberg,2218,2,57,48,53,5,A
Henrik Lindberg,2218,2,57,42,60,18,C
Henrik Lindberg,2218,2,57,44,61,17,D
Giorgi Giorgadze,2565,2,57,66,56,-10,A
Giorgi Giorgadze,2565,2,57,51,51,0,B
Giorgi Giorgadze,2565,2,57,48,54,6,C
Giorgi Giorgadze,2565,2,57,49,53,4,D
Javier B. Campos Moreno,2445,1,57,19,68,49,A
Inigo Montoya Irigoyen,2064,2,57,59,44,-15,A
Inigo Montoya Irigoyen,2064,2,57,51,40,-11,B
Inigo Montoya Irigoyen,2064,2,57,55,44,-11,C
Inigo Montoya Irigoyen,2064,2,57,54,44,-10,D
Imanol Martinez Salas,1956,2,57,68,46,-22,C
Gustavo Luna,2143,1,58,35,52,17,A
Gustavo Luna,2143,1,58,38,48,10,B
Artur Yusupov,2655,3,58,58,34,-24,C
Robert Kuczynski,2515,2,58,48,41,-7,C
Vassily Ivanchuk,2695,3,58,28,59,31,C
Bogdan Lalic,2500,1,58,44,57,13,C
Imanol Martinez Salas,1956,2,58,72,48,-24,B
Johan Henriksson,2197,2,59,65,49,-16,B
Carlo Marzano,2213,2,59,98,37,-61,A
Carlo Marzano,2213,2,59,88,41,-47,C
Carlo Marzano,2213,2,59,86,44,-42,D
Rikard Andersson,2175,2,60,56,50,-6,D
Tamas Ruck,2343,1,60,38,55,17,B
Dmitry Jakovenko,2582,1,60,25,63,38,B
Eric Lobron,2580,2,60,44,43,-1,A
Eric Lobron,2580,2,60,36,52,16,B
Eric Lobron,2580,2,60,39,50,11,C
Eric Lobron,2580,2,60,36,57,21,D
Dorian Rogozenco,2557,2,60,37,68,31,C
Dorian Rogozenco,2557,2,60,40,67,27,D
Santiago Gonzalez De La Torre,2357,2,60,85,43,-42,B
Claude Landenbergue,2446,1,60,20,50,30,B
Mikael Aroven,2201,2,61,60,43,-17,C
Sergey I. Solovjov,2458,1,61,32,54,22,B
Dorian Rogozenco,2557,2,61,40,67,27,A
Dorian Rogozenco,2557,2,61,36,64,28,B
Dmitry Jakovenko,2671,1,61,18,64,46,C
Gregorio Sola Plaza,2102,2,61,59,43,-16,D
Alexander Rustemov,2593,2,62,50,42,-8,B
Jun Xu,2560,2,62,38,58,20,D
Sergei Tiviakov,2480,2,62,49,63,14,D
Gregorio Sola Plaza,2102,2,62,67,44,-23,A
Gregorio Sola Plaza,2102,2,62,71,47,-24,C
Rikard Andersson,2175,2,63,62,46,-16,C
Tommi Luukkonen,2081,2,63,47,49,2,B
Pia Cramling,2524,2,63,23,54,31,B
Radoslaw Wojtaszek,2614,2,63,28,54,26,B
Evgenia Hansen,2159,1,63,47,48,1,B
Jun Xu,2560,2,63,52,56,4,A
Jun Xu,2560,2,63,45,59,14,B
Jun Xu,2560,2,63,43,59,16,C
Sergei Tiviakov,2480,2,63,43,60,17,A
Sergei Tiviakov,2480,2,63,37,62,25,C
Mikhail Rytshagov,2460,2,63,44,57,13,A
Mikhail Rytshagov,2460,2,63,46,54,8,C
Mikhail Rytshagov,2460,2,63,42,51,9,D
Jordi Magem Badals,2487,2,63,32,60,28,B
Rikard Andersson,2175,2,64,59,47,-12,A
Eric Lobron,2500,2,64,73,53,-20,B
Kent Angskog,2271,3,64,77,48,-29,C
Anthony J Miles,2570,2,64,60,59,-1,A
Anthony J Miles,2570,2,64,46,56,10,B
Anthony J Miles,2570,2,64,48,55,7,C
Anthony J Miles,2570,2,64,42,56,14,D
Ljubomir Ljubojevic,2580,3,64,35,45,10,A
Ljubomir Ljubojevic,2580,3,64,31,47,16,C
Ljubomir Ljubojevic,2580,3,64,26,50,24,D
Dara Akdag,2083,2,65,18,68,50,C
Christopher Lissang,2080,2,65,56,52,-4,C
Christopher Lissang,2080,2,65,58,55,-3,D
Oleg Loskutov,2433,2,65,27,68,41,B
Ivan Sokolov,2625,2,65,32,57,25,D
Jeroen Piket,2640,2,65,44,62,18,A
Jeroen Piket,2640,2,65,25,62,37,B
Jeroen Piket,2640,2,65,26,63,37,C
Jeroen Piket,2640,2,65,24,63,39,D
Luis Couso,2355,2,66,61,53,-8,B
Christopher Lissang,2080,2,66,57,47,-10,A
Predrag Nikolic,2655,2,66,32,61,29,A
Predrag Nikolic,2655,2,66,26,65,39,B
Predrag Nikolic,2655,2,66,25,62,37,C
Predrag Nikolic,2655,2,66,22,61,39,D
Ivan Sokolov,2625,2,66,29,55,26,A
Ivan Sokolov,2625,2,66,27,59,32,C
Judit Polgar,2630,2,66,32,56,24,C
Lasha Janjghava,2500,2,66,61,56,-5,D
Kim Nygren,2202,2,67,71,51,-20,B
Vladimir Dobrov,2477,2,67,58,58,0,B
Sergey Volkov,2629,1,67,34,43,9,B
Ivan Sokolov,2625,2,67,30,58,28,B
Jens Ove Fries-Nielsen,2444,2,68,52,38,-14,B
Joseph G. Gallagher,2526,2,68,30,60,30,B
Simon Hanninger,2129,2,68,38,49,11,D
Petar Popovic,2530,2,68,49,53,4,D
Stuart C Conquest,2530,2,68,39,54,15,B
Azer Mirzoev,2543,1,68,35,53,18,B
Christian Hess,2281,2,69,72,46,-26,D
Erik Hedman,2396,2,69,31,57,26,B
Bo Adler,2208,3,69,55,49,-6,D
Ulf Nyberg,2146,1,69,28,65,37,C
Lasha Janjghava,2500,2,69,68,49,-19,C
Petar Popovic,2530,2,69,41,54,13,A
Petar Popovic,2530,2,69,41,61,20,C
Iker Iraneta Unzue,1812,2,69,69,46,-23,D
Ivan Farago,2475,3,70,37,41,4,B
Simon Hanninger,2129,2,70,39,50,11,C
Leonid Yudasin,2625,2,70,52,54,2,D
Mikhail Ulibin,2510,2,70,24,66,42,A
Mikhail Ulibin,2510,2,70,33,54,21,B
Mikhail Ulibin,2510,2,70,24,56,32,C
Mikhail Ulibin,2510,2,70,27,53,26,D
Lasha Janjghava,2500,2,70,69,44,-25,A
Iker Iraneta Unzue,1812,2,70,61,53,-8,A
Iker Iraneta Unzue,1812,2,70,81,44,-37,C
Stefan Winge,2262,3,71,85,44,-41,B
Stefan Winge,2262,3,71,73,46,-27,C
Tomas Karlsson,2249,1,71,28,55,27,B
Bo Adler,2208,3,71,56,51,-5,C
Simon Hanninger,2129,2,71,31,58,27,A
Igor Kurnosov,2543,2,71,22,59,37,B
Leonid Yudasin,2625,2,71,51,52,1,B
Leonid Yudasin,2625,2,71,57,51,-6,C
Miguel Argaya Urdaniz,2054,3,71,96,30,-66,D
Christian Hess,2281,2,72,63,43,-20,A
Bo Adler,2208,3,72,68,50,-18,A
Konstantin Landa,2550,4,72,59,46,-13,C
Leonid Yudasin,2625,2,72,50,54,4,A
Miguel Argaya Urdaniz,2054,3,72,88,36,-52,B
Aitor Alcaide Luque,2100,2,72,42,47,5,B
Sampsa Nyysti,2445,3,73,66,44,-22,B
Sampsa Nyysti,2363,1,73,29,40,11,B
Olga Girya,2338,2,73,44,48,4,B
Alexey Dreev,2650,2,73,48,42,-6,D
Erling Mortensen,2500,2,73,48,45,-3,A
Erling Mortensen,2500,2,73,46,47,1,C
Erling Mortensen,2500,2,73,44,51,7,D
Vasilios Kotronias,2570,2,73,40,48,8,A
Vasilios Kotronias,2570,2,73,38,49,11,B
Vasilios Kotronias,2570,2,73,36,52,16,C
Vasilios Kotronias,2570,2,73,37,49,12,D
Goran Dizdar,2465,1,73,38,44,6,A
Goran Dizdar,2465,1,73,32,44,12,B
Goran Dizdar,2465,1,73,33,41,8,C
Goran Dizdar,2465,1,73,33,36,3,D
Alexey Dreev,2650,2,74,51,47,-4,A
Alexey Dreev,2650,2,74,51,42,-9,B
Alexey Dreev,2650,2,74,47,45,-2,C
Viktor D Kupreichik,2545,2,74,30,65,35,A
Viktor D Kupreichik,2545,2,74,33,66,33,C
Viktor D Kupreichik,2545,2,74,30,66,36,D
Artashes Minasian,2525,1,74,34,47,13,A
Artashes Minasian,2525,1,74,34,43,9,B
Artashes Minasian,2525,1,74,32,43,11,C
Artashes Minasian,2525,1,74,32,45,13,D
Miguel Argaya Urdaniz,2054,3,74,105,30,-75,C
Peder Berkell,2310,2,75,36,55,19,B
Jan Peter Palmblad,2187,2,75,65,47,-18,D
Jon S Speelman,2605,2,75,14,71,57,A
Jon S Speelman,2605,2,75,16,67,51,B
Jon S Speelman,2605,2,75,15,72,57,C
Jon S Speelman,2605,2,75,9,73,64,D
Janne Mertanen,2241,2,76,44,57,13,B
Jan Peter Palmblad,2187,2,76,61,39,-22,A
Nils Grandelius,2371,3,76,40,50,10,B
Alexander Galkin,2602,3,76,24,61,37,C
Evgeny Bareev,2675,3,76,19,70,51,A
Evgeny Bareev,2675,3,76,18,71,53,B
Evgeny Bareev,2675,3,76,19,72,53,C
Evgeny Bareev,2675,3,76,22,68,46,D
Jan Peter Palmblad,2187,2,77,77,40,-37,C
Joel Lautier,2645,4,77,36,51,15,A
Joel Lautier,2645,4,77,33,58,25,C
Joel Lautier,2645,4,77,30,58,28,D
Peter Svidler,2550,2,77,39,49,10,B
Miguel Argaya Urdaniz,2054,3,77,91,38,-53,A
Svetlana Matveeva,2434,2,78,44,51,7,B
Mihail Marin,2520,2,78,38,59,21,B
Mihail Marin,2520,2,78,24,59,35,C
Jan H Timman,2635,3,78,52,54,2,A
Jan H Timman,2635,3,78,50,59,9,C
Jan H Timman,2635,3,78,47,58,11,D
Bogdan Lalic,2500,2,78,48,59,11,A
Bogdan Lalic,2500,2,78,29,65,36,D
Olga Alexandrova,2371,3,78,35,59,24,B
Eduardo Burguete Archel,2151,1,78,42,49,7,B
Ivo Timmermans,2178,3,80,43,54,11,A
Ivo Timmermans,2178,3,80,42,58,16,C
Ivo Timmermans,2178,3,80,42,54,12,D
Lennart Evertsson,2226,2,80,82,46,-36,C
Lennart Evertsson,2226,2,80,79,43,-36,D
Natalija Pogonina,2462,2,80,32,61,29,B
Lennart Evertsson,2226,2,81,86,41,-45,B
Emanuel Berg,2535,2,82,28,62,34,B
Nikita Meskovs,2124,3,82,54,46,-8,B
Kaido Kulaots,2533,2,82,50,51,1,B
Slavko Cicak,2574,2,82,48,50,2,B
Lennart Evertsson,2226,2,83,89,41,-48,A
Aurelio Vila Dupla,2208,3,83,104,51,-53,B
Per Soderberg,2205,2,84,56,49,-7,D
Tatiana Shadrina,2379,2,84,35,61,26,B
Oleg M Romanishin,2605,3,84,33,57,24,A
Oleg M Romanishin,2605,3,84,34,58,24,B
Oleg M Romanishin,2605,3,84,36,58,22,C
Oleg M Romanishin,2605,3,84,32,57,25,D
Lars Bo Hansen,2545,3,84,34,57,23,D
Ekaterina Korbut,2443,2,85,32,56,24,B
Alexander Grischuk,2704,3,85,31,53,22,B
Tommi Luukkonen,2081,3,86,41,53,12,C
Tommi Luukkonen,2081,3,86,47,50,3,D
Lars Bo Hansen,2545,3,86,52,53,1,A
Lars Bo Hansen,2545,3,86,35,55,20,C
Boris F Gulko,2590,3,86,45,52,7,C
Imanol Martinez Salas,1956,3,86,58,45,-13,A
Imanol Martinez Salas,1956,3,86,68,45,-23,D
Kristian Trygstad,2299,2,87,31,60,29,C
Tommi Luukkonen,2081,3,87,50,54,4,A
Evgenia Hansen,2159,2,87,59,49,-10,D
Branko Damljanovic,2505,2,87,48,47,-1,A
Branko Damljanovic,2505,2,87,43,52,9,C
Branko Damljanovic,2505,2,87,44,46,2,D
Santiago Arjona Martinez,1985,3,88,29,60,31,B
Per Soderberg,2205,2,89,52,51,-1,A
Evgenia Hansen,2159,2,89,61,48,-13,C
Eugenio Torre,2535,3,90,44,61,17,A
Eugenio Torre,2535,3,90,28,69,41,B
Eugenio Torre,2535,3,90,29,67,38,C
Eugenio Torre,2535,3,90,30,71,41,D
Anton Frisk Kockum,2206,2,91,35,54,19,B
Evgenia Hansen,2159,2,91,65,46,-19,A
Elena Tairova,2391,2,91,41,64,23,B
David Monell Camarasa,2212,3,91,36,49,13,B
Kezli Ong,2171,2,92,39,50,11,A
Kezli Ong,2171,2,92,30,47,17,D
Andreas Landgren,2164,4,93,63,52,-11,D
Kiril Georgiev,2615,2,93,20,71,51,D
Vasil Spasov,2525,3,93,47,63,16,C
Vasil Spasov,2525,3,93,43,65,22,D
Adrian Leranoz Zabalza,2061,4,93,60,46,-14,D
Kiril Georgiev,2615,2,94,17,69,52,C
Vasil Spasov,2525,3,94,58,56,-2,A
Adrian Leranoz Zabalza,2061,4,94,63,50,-13,C
Ilja Vovk,2295,2,95,36,45,9,C
Ildar Khairullin,2481,3,95,44,55,11,C
Zurab Azmaiparashvili,2575,2,95,31,52,21,B
Kiril Georgiev,2615,2,95,14,65,51,A
Kiril Georgiev,2615,2,95,12,71,59,B
Andreas Landgren,2164,4,96,64,55,-9,C
Ilja Vovk,2295,2,96,36,49,13,B
Mikhail Kobalia,2630,2,96,34,43,9,B
Adrian Leranoz Zabalza,2061,4,96,63,56,-7,A
Andreas Landgren,2164,4,97,79,43,-36,A
Artur Yusupov,2655,4,97,59,44,-15,A
Artur Yusupov,2655,4,97,53,46,-7,D
Nigel D Short,2665,3,97,46,53,7,B
Nigel D Short,2665,3,97,51,54,3,C
Nigel D Short,2665,3,97,53,49,-4,D
Darius Ruzele,2495,3,97,46,57,11,A
Viktor Laznicka,2596,2,97,21,67,46,B
Peder Berkell,2310,3,98,38,54,16,D
Ekaterina Kovalevskaya,2448,2,98,46,49,3,B
Vladimir Belov,2543,3,98,42,57,15,C
Maxim Novikov,2426,4,98,60,45,-15,C
Darius Ruzele,2495,3,98,45,58,13,C
Darius Ruzele,2495,3,98,45,59,14,D
Stellan Brynell,2524,3,99,23,56,33,C
Janne Mertanen,2241,3,99,43,58,15,C
Peder Berkell,2310,3,99,36,53,17,C
Luis Couso,2355,3,99,62,58,-4,A
Luis Couso,2355,3,99,53,54,1,C
Luis Couso,2355,3,99,53,57,4,D
Evgeny Alekseev,2616,3,99,46,50,4,C
Vladimir Akopian,2630,3,99,51,60,9,A
Vladimir Akopian,2630,3,99,46,60,14,B
Vladimir Akopian,2630,3,99,36,61,25,C
Vladimir Akopian,2630,3,99,37,61,24,D
Peder Berkell,2310,3,100,31,54,23,A
Robert Kuczynski,2515,3,100,45,53,8,A
Robert Kuczynski,2515,3,100,55,44,-11,D
Nigel D Short,2665,3,100,60,49,-11,A
Ralf Akesson,2470,3,101,39,55,16,B
Yuri Yakovich,2596,3,101,23,65,42,C
Fredrik Andersson,2229,5,102,82,45,-37,A
Fredrik Andersson,2229,5,102,88,40,-48,C
Fredrik Andersson,2229,5,102,79,41,-38,D
Henrik Lindberg,2254,3,103,65,45,-20,B
Sergej Silivanov,2291,3,103,55,51,-4,B
Daniel Moreno Gracia,2176,3,103,65,40,-25,B
Jasmin Bejtovic,2353,3,104,35,52,17,B
Pavel Maletin,2423,4,104,42,54,12,C
Paul Van Der Sterren,2605,3,104,28,62,34,A
Paul Van Der Sterren,2605,3,104,26,65,39,B
Paul Van Der Sterren,2605,3,104,22,63,41,C
Paul Van Der Sterren,2605,3,104,23,62,39,D
Peter Svidler,2550,3,105,38,50,12,A
Peter Svidler,2550,3,105,38,52,14,C
Peter Svidler,2550,3,105,41,48,7,D
Jonas Lundvik,2270,2,106,41,56,15,C
Pavel V. Tregubov,2636,3,106,37,57,20,C
Rafael Ruiz Escobar,1975,2,106,65,38,-27,D
Lennart Evertsson,2198,3,107,77,41,-36,D
Rafael Ruiz Escobar,1975,2,107,66,38,-28,C
Juan Carlos Lakunza Oyarbide,2175,4,107,46,50,4,B
Anders Livner,2281,2,108,29,56,27,B
Evgeny Gleizerov,2592,6,108,73,49,-24,C
Rafael Ruiz Escobar,1975,2,108,65,41,-24,B
Lars Karlsson,2488,3,110,41,55,14,B
Kim Nygren,2202,4,111,78,46,-32,C
Rafael Ruiz Escobar,1975,2,111,65,42,-23,A
Lennart Evertsson,2198,3,112,65,43,-22,C
Kent Angskog,2271,4,112,64,52,-12,D
Dmitry Andreikin,2418,3,112,28,53,25,C
Mikael Aroven,2201,3,113,59,49,-10,A
Mikael Aroven,2201,3,113,67,46,-21,D
Kent Angskog,2271,4,113,62,51,-11,A
Raul Garcia,2233,3,113,51,57,6,C
Lennart Evertsson,2198,3,114,80,44,-36,A
Alexei Shirov,2720,4,114,51,61,10,B
Heikki Lehtinen,2332,3,115,30,55,25,C
Johan Norberg,2153,3,115,69,45,-24,D
Juan Carlos Lakunza Oyarbide,2175,5,115,41,53,12,D
Tom Wedberg,2530,4,116,32,55,23,C
Johan Norberg,2153,3,116,74,42,-32,C
Csaba Berczes,2420,3,116,39,49,10,B
Thomas Marttala,2253,3,116,50,45,-5,A
Thomas Marttala,2253,3,116,55,44,-11,C
Thomas Marttala,2253,3,116,60,41,-19,D
Vladimir Kramnik,2725,3,116,22,59,37,A
Vladimir Kramnik,2725,3,116,23,65,42,C
Vladimir Kramnik,2725,3,116,24,59,35,D
Juan Carlos Lakunza Oyarbide,2175,5,116,43,52,9,C
Ian Nepomniachtchi,2445,3,117,25,54,29,C
Radoslaw Wojtaszek,2630,4,117,28,55,27,B
Radoslaw Wojtaszek,2630,4,117,24,55,31,C
Stefan Winge,2262,5,118,83,47,-36,D
Juan Manuel Bellon Lopez,2428,3,118,34,60,26,B
Stefan Winge,2262,5,119,81,48,-33,A
Johan Norberg,2153,3,119,58,49,-9,A
Vassily Ivanchuk,2695,5,119,28,62,34,A
Vassily Ivanchuk,2695,5,119,24,65,41,D
Juan Carlos Lakunza Oyarbide,2175,5,120,50,50,0,A
Lembit Oll,2475,4,122,42,55,13,D
Alexander Morozevich,2758,4,123,30,59,29,B
Mihail Marin,2520,3,123,31,56,25,D
Lembit Oll,2475,4,123,43,54,11,C
Irina Tetenkina,2292,5,124,53,49,-4,C
Jorgen Eriksson,2238,3,124,56,42,-14,C
Jorgen Eriksson,2238,3,124,58,39,-19,D
Semen I. Dvoirys,2612,4,124,42,54,12,C
Alexander Morozevich,2575,4,124,37,58,21,D
Evgenija Ovod,2386,2,125,25,53,28,B
Vladimir Kosyrev,2529,5,125,35,56,21,A
Vladimir Kosyrev,2529,5,125,31,56,25,C
Vladimir Kosyrev,2529,5,125,28,56,28,D
Mihail Marin,2520,3,125,50,56,6,A
Lembit Oll,2475,4,125,50,56,6,A
Jorgen Eriksson,2238,3,126,55,42,-13,A
Olga Stjazhkina,2325,3,126,33,47,14,B
Sampsa Nyysti,2445,5,127,55,43,-12,C
Sampsa Nyysti,2445,5,127,52,41,-11,D
Pia Cramling,2508,3,127,54,45,-9,B
Erno Dede,2275,3,127,58,53,-5,C
Erno Dede,2275,3,127,65,50,-15,D
Sampsa Nyysti,2445,5,128,51,41,-10,A
Henrik Lindberg,2254,4,128,56,49,-7,C
Tatiana Stepovaia,2375,2,128,40,51,11,B
Miguel Illescas Cordoba,2590,5,128,28,60,32,C
Miguel Illescas Cordoba,2590,5,128,31,59,28,D
Alexander Morozevich,2575,4,128,54,52,-2,A
Terje Johansen,2267,4,129,59,50,-9,C
Terje Johansen,2267,4,129,57,49,-8,D
Ulf Nyberg,2146,2,129,36,63,27,D
Miguel Illescas Cordoba,2590,5,129,39,54,15,A
Eduardo Ros Octavio De Toledo,2166,4,129,47,52,5,C
Terje Johansen,2267,4,130,49,55,6,A
Terje Johansen,2267,4,130,57,52,-5,B
Ulf Nyberg,2146,2,130,31,58,27,A
Janne Mertanen,2241,4,131,46,52,6,D
Kalle Kiik,2445,3,131,57,40,-17,B
Mika Karttunen,2413,5,131,32,54,22,D
Viktoria Johansson,2142,4,131,56,47,-9,A
Viktoria Johansson,2142,4,131,45,50,5,C
Viktoria Johansson,2142,4,131,47,50,3,D
Dara Akdag,2083,4,131,42,63,21,D
Erno Dede,2275,3,131,63,48,-15,A
Eduardo Burguete Archel,2151,3,131,51,50,-1,C
Alfonso Llorente Zaro,2419,4,131,26,57,31,C
Alfonso Llorente Zaro,2419,4,131,28,55,27,D
Janne Mertanen,2241,4,132,52,49,-3,A
Mika Karttunen,2413,5,132,31,53,22,A
Fernando Lopez Gracia,2348,7,133,47,52,5,A
Fernando Lopez Gracia,2348,7,133,44,54,10,C
Fernando Lopez Gracia,2348,7,133,47,56,9,D
Daniel Gomez Anadon,2268,4,133,46,54,8,B
Dara Akdag,2083,4,134,47,61,14,A
Alfonso Llorente Zaro,2419,4,134,30,48,18,A
David Arjol Echeverria,2073,4,134,51,57,6,C
David Arjol Echeverria,2073,4,134,55,54,-1,D
Jacob Aagaard,2355,5,135,33,59,26,D
David Arjol Echeverria,2073,4,135,61,47,-14,A
Jacob Aagaard,2355,5,136,34,55,21,A
Tatiana Shumiakina,2364,5,138,41,51,10,C
Teodor Hellborg,2240,4,139,46,52,6,A
Teodor Hellborg,2240,4,139,46,56,10,C
Teodor Hellborg,2240,4,139,45,53,8,D
Petr Kiriakov,2568,4,139,50,50,0,C
Alexei Kornev,2582,3,139,43,54,11,C
Boris F Gulko,2590,4,140,48,54,6,A
Boris F Gulko,2590,4,140,39,57,18,D
Sergey Ivanov,2561,3,142,39,62,23,C
Olga Stjazhkina,2325,4,142,45,50,5,C
Jens Ove Fries-Nielsen,2444,4,143,45,44,-1,C
Robert Fontaine,2572,4,143,34,54,20,B
Henrik Lindberg,2254,5,143,54,48,-6,A
Henrik Lindberg,2254,5,143,51,52,1,D
Maxim Sorokin,2554,3,143,23,62,39,C
Ekaterina Kovalevskaya,2452,5,144,37,55,18,C
Alexei Shirov,2720,5,144,31,69,38,C
Olli Sisatto,2285,2,145,34,57,23,B
Erik Blomqvist,2302,6,145,50,54,4,C
Andrei Kharlov,2593,3,145,29,55,26,C
Johann Hjartarson,2585,3,146,35,58,23,C
Johann Hjartarson,2585,3,146,42,57,15,D
Hannes Stefansson,2566,6,147,44,59,15,A
Hannes Stefansson,2566,6,147,47,58,11,D
Sergey Ivanov,2541,3,147,27,57,30,B
Sergei Rublevsky,2671,5,147,36,59,23,C
Miguel Illescas Cordoba,2620,5,147,45,52,7,C
Thomas Ernst,2448,4,148,47,55,8,C
Johann Hjartarson,2585,3,148,49,51,2,A
Ralf Akesson,2440,4,149,44,57,13,B
Mikael Naslund,2310,4,149,55,51,-4,D
Kim Nygren,2202,5,150,62,53,-9,D
Sergei Iskusnyh,2507,5,150,54,55,1,C
Michael Adams,2640,4,150,27,55,28,A
Michael Adams,2640,4,150,24,55,31,B
Michael Adams,2640,4,150,24,55,31,C
Michael Adams,2640,4,150,20,59,39,D
Oliver Brendel,2375,5,151,36,59,23,C
Miguel Navarro Cia,2297,3,151,38,55,17,B
Oliver Brendel,2375,5,152,36,61,25,D
Mikael Naslund,2310,4,152,56,51,-5,C
Vadim Zvjaginsev,2654,6,152,35,54,19,A
Vadim Zvjaginsev,2654,6,152,26,66,40,C
Vadim Zvjaginsev,2654,6,152,24,65,41,D
Alexandre Danin,2332,4,152,55,51,-4,C
Mikael Naslund,2310,4,153,53,50,-3,A
Jonas Lundvik,2270,3,154,40,58,18,D
Ilja Vovk,2295,3,154,39,54,15,D
Oliver Brendel,2375,5,156,44,58,14,A
Boris Gelfand,2685,4,156,32,62,30,A
Boris Gelfand,2685,4,156,30,60,30,C
Boris Gelfand,2685,4,156,29,63,34,D
Kim Nygren,2202,5,157,68,45,-23,A
Daniel Zamarbide Inarrea,2015,4,157,54,47,-7,C
Daniel Zamarbide Inarrea,2015,4,157,54,46,-8,D
Ilja Vovk,2295,3,158,30,52,22,A
Valeri Yandemirov,2494,6,158,45,57,12,C
Daniel Zamarbide Inarrea,2015,4,158,55,44,-11,A
Zurab Azmaiparashvili,2575,4,159,48,50,2,A
Zurab Azmaiparashvili,2575,4,159,40,48,8,C
Zurab Azmaiparashvili,2575,4,159,43,52,9,D
Raul Garcia,2233,5,159,49,57,8,D
Jonas Lundvik,2270,3,160,41,49,8,A
